latitude,longitude,STATION_ID,LONGNAME,LINES,ADDRESS,ADA,PKNRD,POINT_X,POINT_Y,LEGEND
41.88557,-87.65212,41510,Morgan,"Green,Pink",1000 W Lake St,TRUE,FALSE,"1,169,742.12","1,901,630.36",Multiple Lines
41.88716,-87.75498,40700,Laramie,Green,5148 W. Lake Street,TRUE,FALSE,"1,141,729.75","1,902,002.90",Green Line
41.7803,-87.60585,40720,Cottage Grove,Green,800 E. 63rd Street,TRUE,FALSE,"1,182,666.52","1,863,374.48",Green Line
42.00107,-87.66106,41300,Loyola,Red,1200 W. Loyola Avenue,TRUE,FALSE,"1,166,979.65","1,943,698.47",Red Line
41.8769,-87.6282,40850,Library,"Brown,Orange,Pink,Purple",26 W. Van Buren Street,TRUE,FALSE,"1,176,281.21","1,898,524.19",Multiple Lines
41.87403,-87.62747,41490,Harrison,Red,608 S. State Street,FALSE,FALSE,"1,176,488.62","1,897,480.33",Red Line
41.9835,-87.85938,40820,Rosemont,Blue,5801 N. River Road,TRUE,TRUE,"1,113,107.88","1,936,936.48",Blue Line
41.8674,-87.62658,40410,Roosevelt/Wabash,"Orange,Green",22 E. Roosevelt Road,TRUE,FALSE,"1,176,750.71","1,895,064.80",Multiple Lines
41.9662,-87.69411,41010,Rockwell,Brown,4648 N. Rockwell Street,TRUE,FALSE,"1,158,091.02","1,930,925.26",Brown Line
41.87588,-87.65945,40470,Racine,Blue,430 S. Racine Avenue,FALSE,FALSE,"1,167,774.56","1,898,083.16",Blue Line
41.87442,-87.70597,40250,Kedzie-Homan,Blue,530 S. Kedzie Avenue,TRUE,FALSE,"1,155,108.32","1,897,455.05",Blue Line
41.93813,-87.71235,40060,Belmont-O'Hare,Blue,3355 W. Belmont Avenue,FALSE,FALSE,"1,153,202.40","1,920,656.95",Blue Line
42.04165,-87.6816,40690,Dempster,Purple,1316 N. Sherman Avenue,FALSE,FALSE,"1,161,283.71","1,958,443.43",Multiple Lines
41.78053,-87.631,40910,63rd-Dan Ryan,Red,220 W. 63rd Street,TRUE,FALSE,"1,175,808.13","1,863,399.66",Red Line
41.87156,-87.66954,41030,Polk,Pink,1713 W. Polk Street,TRUE,FALSE,"1,165,039.42","1,896,486.59",Pink Line
41.94742,-87.65362,41420,Addison-North Main,Red,940 W. Addison Street,TRUE,FALSE,"1,169,155.60","1,924,165.79",Red Line
41.8469,-87.64813,41130,Halsted-Midway,Orange,2520 S. Archer Avenue,TRUE,TRUE,"1,170,942.97","1,887,545.80",Orange Line
41.79988,-87.72444,40960,Pulaski-Midway,Orange,5106 S. Pulaski Road,TRUE,TRUE,"1,150,270.22","1,870,257.60",Orange Line
41.96614,-87.70165,40870,Francisco,Brown,4648 N. Francisco Avenue,TRUE,FALSE,"1,156,039.37","1,930,887.06",Brown Line
42.02761,-87.67832,40840,South Boulevard,Purple,601 W. South Boulevard,FALSE,FALSE,"1,162,211.83","1,953,332.90",Multiple Lines
41.97798,-87.65866,40340,Berwyn,Red,1121 W. Berwyn Avenue,FALSE,FALSE,"1,167,696.18","1,935,289.68",Red Line
41.94381,-87.6636,40360,Southport,Brown,3411 N. Southport Avenue,TRUE,FALSE,"1,166,449.96","1,922,826.82",Brown Line
41.80209,-87.6185,40130,51st,Green,314 E. 51st Street,TRUE,FALSE,"1,179,151.84","1,871,283.08",Green Line
42.07315,-87.69072,41050,Linden,Purple,349 W. Linden Avenue,TRUE,TRUE,"1,158,718.09","1,969,902.90",Multiple Lines
41.94736,-87.71909,41240,Addison-O'Hare,Blue,3622 W. Addison Street,TRUE,FALSE,"1,151,344.51","1,924,006.60",Blue Line
41.88729,-87.77413,41260,Austin-Lake,Green,351 N. Austin Blvd,FALSE,FALSE,"1,136,515.35","1,902,015.56",Green Line
41.8092,-87.61882,41080,47th-South Elevated,Green,314 E. 47th Street,TRUE,FALSE,"1,179,041.80","1,873,875.83",Green Line
41.97887,-87.90184,40890,O'Hare Airport,Blue,1000 O'Hare Drive,TRUE,FALSE,"1,101,572.00","1,935,188.08",Blue Line
41.83167,-87.62588,41120,35-Bronzeville-IIT,Green,16 E. 35th Street,TRUE,FALSE,"1,177,050.92","1,882,047.59",Green Line
41.95452,-87.67495,41460,Irving Park-Ravenswood,Brown,1816 W. Irving Park Dr,TRUE,FALSE,"1,163,333.21","1,926,705.99",Brown Line
41.96175,-87.67516,41500,Montrose-Ravenswood,Brown,1814 W. Montrose Avenue,TRUE,FALSE,"1,163,255.95","1,929,339.67",Brown Line
41.97063,-87.76089,41280,Jefferson Park,Blue,4917 N. Milwaukee Avenue,TRUE,FALSE,"1,139,918.57","1,932,409.03",Blue Line
41.93273,-87.65313,40530,Diversey,"Brown,Purple",940 W. Diversey Avenue,TRUE,FALSE,"1,169,332.77","1,918,811.41",Multiple Lines
41.8807,-87.62937,40790,Monroe/Dearborn,Blue,114 S. Dearborn,FALSE,FALSE,"1,175,951.62","1,899,904.52",Blue Line
41.88738,-87.76564,40280,Central-Lake,Green,350 N. Central Avenue,TRUE,FALSE,"1,138,825.74","1,902,065.79",Green Line
41.8532,-87.63096,41000,Cermak-Chinatown,Red,138 W. Cermak Road,TRUE,FALSE,"1,175,600.58","1,889,880.87",Red Line
41.92972,-87.70854,41020,Logan Square,Blue,2620 N. Milwaukee Av,TRUE,FALSE,"1,154,263.50","1,917,602.20",Blue Line
41.96625,-87.6885,41480,Western-Ravenswood,Brown,4645 N. Western Avenue,TRUE,FALSE,"1,159,616.20","1,930,951.30",Brown Line
41.88316,-87.62944,40370,Washington/Dearborn,Blue,19 N. Dearborn,FALSE,FALSE,"1,175,927.28","1,900,801.15",Blue Line
41.88496,-87.67688,41710,Damen-Lake,Green,154 N. Damen Ave,TRUE,FALSE,"1,163,002.26","1,901,355.32",Green Line
41.93603,-87.65326,41210,Wellington,"Brown,Purple",945 W. Wellington Avenue,TRUE,FALSE,"1,169,286.34","1,920,014.05",Multiple Lines
42.02624,-87.74722,41680,Oakton-Skokie,Yellow,4802 W Oakton,TRUE,FALSE,"1,143,497.61","1,952,698.68",Yellow Line
41.87551,-87.64964,40350,UIC-Halsted,Blue,430 S. Halsted Street,TRUE,FALSE,"1,170,448.20","1,897,969.68",Blue Line
41.85399,-87.71488,40780,Central Park,Pink,1915 S. Central Park Avenue,TRUE,FALSE,"1,152,737.53","1,889,991.52",Pink Line
41.83935,-87.66531,41060,Ashland-Midway,Orange,3011 S. Ashland Avenue,TRUE,FALSE,"1,166,283.24","1,884,759.34",Orange Line
41.90974,-87.67743,40590,Damen/Milwaukee,Blue,1558 N. Damen Avenue,FALSE,FALSE,"1,162,783.21","1,910,383.12",Blue Line
42.05828,-87.68333,40400,Noyes,Purple,901 W. Noyes Street,FALSE,FALSE,"1,160,766.40","1,964,499.18",Multiple Lines
41.87425,-87.81731,40390,Forest Park,Blue,711 S. Des Plaines Avenue,TRUE,TRUE,"1,124,785.61","1,897,191.79",Blue Line
41.88421,-87.69623,41360,California-Lake,Green,2800 W. Lake Street,TRUE,FALSE,"1,157,735.62","1,901,043.52",Green Line
41.72237,-87.62441,40450,95th/Dan Ryan,Red,14 W. 95th Street,TRUE,FALSE,"1,177,778.98","1,842,222.01",Red Line
41.9104,-87.6393,40800,Sedgwick,"Brown,Purple",1536 N. Sedgwick Avenue,TRUE,FALSE,"1,173,161.41","1,910,707.27",Multiple Lines
41.87563,-87.67394,40810,Illinois Medical District,Blue,430 S. Damen Avenue,TRUE,FALSE,"1,163,828.91","1,897,961.33",Blue Line
41.82956,-87.68058,40120,35th/Archer,Orange,3528 S. Leavitt Street,TRUE,TRUE,"1,162,147.78","1,881,157.79",Orange Line
42.01587,-87.66909,41190,Jarvis,Red,1523 W. Jarvis Street,FALSE,FALSE,"1,164,754.77","1,949,075.68",Red Line
41.87951,-87.62609,40680,Adams/Wabash,"Brown,Orange,Pink,Purple,Green",201 S. Wabash Avenue,FALSE,FALSE,"1,176,848.37","1,899,477.05",Multiple Lines
41.88531,-87.66695,40170,Ashland-Lake,"Green,Pink",1601 W. Lake Street,TRUE,FALSE,"1,165,706.56","1,901,501.96",Multiple Lines
41.85439,-87.68517,40740,Western-Douglas,Pink,2009 S. Western Avenue,TRUE,FALSE,"1,160,828.02","1,890,198.73",Pink Line
41.96913,-87.65849,40770,Lawrence,Red,1117 W. Lawrence Avenue,FALSE,FALSE,"1,167,769.27","1,932,066.88",Red Line
41.85177,-87.75669,40580,54th/Cermak,Pink,2134 S. 54th Avenue,TRUE,TRUE,"1,141,351.98","1,889,103.78",Pink Line
41.95377,-87.65492,40080,Sheridan,Red,3940 N. Sheridan Road,FALSE,FALSE,"1,168,782.70","1,926,475.83",Red Line
