longitude,latitude,STOP_ID,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
-87.65533,41.80854,5159,RACINE,47TH STREET,SB,FS,44,,CHICAGO,Racine & 47th Street
-87.66018,41.98386,5338,BROADWAY,RIDGE/BRYN MAWR,SB,NS,36,,CHICAGO,Broadway & Bryn Mawr/Ridge
-87.64436,41.93657,5367,BROADWAY,WELLINGTON,SB,NS,36,,CHICAGO,Broadway & Wellington
-87.62527,41.76910,8629,69TH STREET,STATE,EB,NS,169,,CHICAGO,69th Street & State (Red Line)
-87.68816,41.95392,17493,IRVING PARK,WESTERN,EB,FS,80,,CHICAGO,Irving Park & Western
-87.69250,41.97765,1491,LINCOLN,BERWYN,NWB,FS,11,,CHICAGO,Lincoln & Berwyn
-87.68322,41.75882,8302,WESTERN,COLUMBUS,SB,FS,"49,X49",N49,CHICAGO,Western & Columbus
-87.81630,42.00281,9927,NORTHWEST HWY,OLIPHANT,SEB,NS,68,,CHICAGO,Northwest Hwy & Oliphant
-87.78679,41.95645,17209,NARRAGANSETT,BERTEAU,SB,FS,86,,CHICAGO,Narragansett & Berteau
-87.76562,41.89861,11560,CENTRAL,AUGUSTA,SB,NS,85,,CHICAGO,Central & Augusta
-87.67386,41.78285,8728,DAMEN,61ST STREET,NB,NS,48,,CHICAGO,Damen & 61st Street
-87.71555,41.87347,15170,HARRISON,CENTRAL PARK,EB,FS,7,,CHICAGO,Harrison & Central Park
-87.63563,41.89150,744,GRAND,FRANKLIN,EB,NS,65,,CHICAGO,Grand & Franklin
-87.66434,41.95427,5667,IRVING PARK,SOUTHPORT,EB,NS,"9,80",,CHICAGO,Irving Park & Southport
-87.73447,41.97539,4762,FOSTER,TRIPP,EB,NS,92,,CHICAGO,Foster & Tripp
-87.68914,41.96853,3756,LAWRENCE,WESTERN,EB,NS,81,N81,CHICAGO,Lawrence & Western
-87.69817,41.78627,15260,59TH STREET,SACRAMENTO,EB,FS,59,,CHICAGO,59th Street & Sacramento
-87.66133,41.86681,16103,ROOSEVELT,LOOMIS,EB,FS,12,,CHICAGO,Roosevelt & Loomis
-87.64510,41.78695,12988,59TH STREET,HALSTED,EB,NS,59,,CHICAGO,59th Street & Halsted
-87.75213,41.79282,15196,55TH STREET,LARAMIE,EB,FS,"55A,55N",,CHICAGO,55th Street & Laramie
-87.78061,41.92369,1292,FULLERTON,MELVINA,EB,NS,74,,CHICAGO,Fullerton & Melvina
-87.64964,41.95575,4931,CLARENDON,BITTERSWEET,NB,FS,"135,148",,CHICAGO,Clarendon & Bittersweet
-87.68573,42.03059,14258,RIDGE,MONROE,NB,NS,"201,206",,EVANSTON,Ridge & Monroe
-87.55144,41.71180,6996,COMMERCIAL,101ST STREET,NB,NS,71,,CHICAGO,Commercial & 101st Street
-87.82456,42.00817,9913,NORTHWEST HWY,300 SOUTH (private rdwy.),NWB,NS,68,,PARK RIDGE,300 S Northwest Hwy
-87.62015,41.66644,7560,MICHIGAN,125TH PLACE,SB,NS,34,N34,CHICAGO,Michigan & 125th Place
-87.72217,41.75279,12867,PULASKI,77TH STREET (south leg),SB,MT,53A,,CHICAGO,Pulaski & 77th Street
-87.79718,41.92352,671,GRAND,NEWCASTLE (west leg),EB,NS,"65,74",,CHICAGO,Grand & Newcastle
-87.68592,41.94671,12528,ADDISON,OAKLEY,EB,NS,152,,CHICAGO,Addison & Oakley
-87.60733,41.73654,9418,87TH STREET,LANGLEY,EB,NS,87,,CHICAGO,87th Street & Langley
-87.70120,41.70426,9973,KEDZIE,104TH STREET,NB,NS,52A,,CHICAGO,Kedzie & 104th Street
-87.67690,41.89402,8919,DAMEN,HURON,NB,NS,50,,CHICAGO,Damen & Huron
-87.62397,41.73260,2273,STATE,89TH STREET,NB,NS,29,,CHICAGO,State & 89th Street
-87.71603,41.73483,9373,87TH STREET,HAMLIN,EB,FT,87,,EVERGREEN PARK,87th Street & Hamlin
-87.58860,41.75138,2793,79TH STREET,ANTHONY,EB,NS,79,N79,CHICAGO,79th Street & Anthony
-87.75324,41.89489,520,CHICAGO,LECLAIRE,EB,NS,66,,CHICAGO,Chicago & Leclaire
-87.62974,41.76713,6447,WENTWORTH,70TH STREET,NB,NS,24,,CHICAGO,Wentworth & 70th Street
-87.63377,41.75286,6550,VINCENNES,78TH STREET,SB,NS,24,,CHICAGO,Vincennes & 78th Street
-87.61598,41.79841,2149,KING DRIVE,53RD STREET,NB,NT,3,,CHICAGO,King Drive & 53rd Street
-87.69972,42.00656,11914,CALIFORNIA,MORSE,NB,NS,93,,CHICAGO,California & Morse
-87.74734,42.02931,10439,SKOKIE BLVD,SEARLE,NB,NT,54A,,SKOKIE,Skokie Blvd & Searle
-87.75048,42.04092,3563,BRONX,DEMPSTER,NB,FS,"54A,97",,SKOKIE,Bronx & Dempster
-87.60674,41.82036,2517,COTTAGE GROVE,41ST STREET (north leg),NB,NS,4,N4,CHICAGO,Cottage Grove & 41st Street
-87.63746,41.90217,6608,ORLEANS,HILL,SB,NS,37,,CHICAGO,Orleans & Hill
